"LOCATION","Country","INDICATOR","Indicator","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","TES13S","Total expenditure of general government, percentage of GDP","2005","2005",,,"0","Units",,,34.9377276878456,,
"AUS","Australia","TES13S","Total expenditure of general government, percentage of GDP","2006","2006",,,"0","Units",,,34.7392261868059,,
"AUS","Australia","TES13S","Total expenditure of general government, percentage of GDP","2007","2007",,,"0","Units",,,34.6713235987371,,
"AUS","Australia","TES13S","Total expenditure of general government, percentage of GDP","2008","2008",,,"0","Units",,,36.9853469243619,,
"AUS","Australia","TES13S","Total expenditure of general government, percentage of GDP","2009","2009",,,"0","Units",,,38.369411263815,,
"AUS","Australia","TES13S","Total expenditure of general government, percentage of GDP","2010","2010",,,"0","Units",,,36.926152495161,,
"AUS","Australia","TES13S","Total expenditure of general government, percentage of GDP","2011","2011",,,"0","Units",,,37.1971072214093,,
"AUS","Australia","TES13S","Total expenditure of general government, percentage of GDP","2012","2012",,,"0","Units",,,36.3335583317657,,
"AUS","Australia","TES13S","Total expenditure of general government, percentage of GDP","2013","2013",,,"0","Units",,,36.6026912225607,,
"AUS","Australia","TES13S","Total expenditure of general government, percentage of GDP","2014","2014",,,"0","Units",,,36.7298041359475,,
"AUS","Australia","TES13S","Total expenditure of general government, percentage of GDP","2015","2015",,,"0","Units",,,37.4243008487449,,
"AUS","Australia","TES13S","Total expenditure of general government, percentage of GDP","2016","2016",,,"0","Units",,,36.7362194193069,,
"AUS","Australia","TES13S","Total expenditure of general government, percentage of GDP","2017","2017",,,"0","Units",,,36.7116511291217,,
"AUS","Australia","TRS13S","Total general government (GG) revenue, percentage of GDP","2000","2000",,,"0","Units",,,35.355555366448,,
"AUS","Australia","TRS13S","Total general government (GG) revenue, percentage of GDP","2001","2001",,,"0","Units",,,35.3613442704238,,
"AUS","Australia","TRS13S","Total general government (GG) revenue, percentage of GDP","2002","2002",,,"0","Units",,,35.8662105473432,,
"AUS","Australia","TRS13S","Total general government (GG) revenue, percentage of GDP","2003","2003",,,"0","Units",,,36.0908158631607,,
"AUS","Australia","TRS13S","Total general government (GG) revenue, percentage of GDP","2004","2004",,,"0","Units",,,36.2080984766433,,
"AUS","Australia","TRS13S","Total general government (GG) revenue, percentage of GDP","2005","2005",,,"0","Units",,,36.6014672380398,,
"AUS","Australia","TRS13S","Total general government (GG) revenue, percentage of GDP","2006","2006",,,"0","Units",,,36.3944917738288,,
"AUS","Australia","TRS13S","Total general government (GG) revenue, percentage of GDP","2007","2007",,,"0","Units",,,35.3916078392067,,
"AUS","Australia","TRS13S","Total general government (GG) revenue, percentage of GDP","2008","2008",,,"0","Units",,,33.2400636434696,,
"AUS","Australia","TRS13S","Total general government (GG) revenue, percentage of GDP","2009","2009",,,"0","Units",,,32.8099747081757,,
"AUS","Australia","TRS13S","Total general government (GG) revenue, percentage of GDP","2010","2010",,,"0","Units",,,32.464553000024,,
"AUS","Australia","TRS13S","Total general government (GG) revenue, percentage of GDP","2011","2011",,,"0","Units",,,32.5818395713651,,
"AUS","Australia","TRS13S","Total general government (GG) revenue, percentage of GDP","2012","2012",,,"0","Units",,,33.4476767989731,,
"AUS","Australia","TRS13S","Total general government (GG) revenue, percentage of GDP","2013","2013",,,"0","Units",,,33.7585156362408,,
"AUS","Australia","TRS13S","Total general government (GG) revenue, percentage of GDP","2014","2014",,,"0","Units",,,34.4000709188423,,
"AUS","Australia","TRS13S","Total general government (GG) revenue, percentage of GDP","2015","2015",,,"0","Units",,,34.9945889431565,,
"AUS","Australia","TRS13S","Total general government (GG) revenue, percentage of GDP","2016","2016",,,"0","Units",,,34.8914034021871,,
"AUS","Australia","TRS13S","Total general government (GG) revenue, percentage of GDP","2017","2017",,,"0","Units",,,35.8709188574831,,
"AUS","Australia","D62_D63PS13S","Social benefits and social transfers in kind, percentage of GDP","2000","2000",,,"0","Units",,,19.357194929269,,
