"Data Source","World Development Indicators",

"Last Updated Date","2019-10-02",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Antigua and Barbuda","ATG","Revenue, excluding grants (% of GDP)","GC.REV.XGRT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Revenue, excluding grants (% of GDP)","GC.REV.XGRT.GD.ZS","","","","","","","","","","","","","20.4275694631778","19.480180107743","20.329506238386","22.1026152700291","22.6085493908739","22.9958157253784","23.0775829203202","22.2452714041168","22.7340355888829","23.6750951407557","23.8350938131709","24.250754664115","23.606463646674","25.1496980504143","25.5016484656589","26.2217104296025","25.6761513096958","24.7740295924642","24.4832265285303","24.2558622636456","22.7498798626054","22.0495598613388","22.2566467634132","23.0977804827253","23.7096734451733","24.2357610694213","24.1517980877304","25.1599233077639","25.942776245956","27.0648421566208","25.9940630000809","26.652766679984","26.6105251910773","27.0662238947235","27.0074164768223","26.429675140554","26.6102557263871","24.4689301627987","23.3012939484834","22.6789503480816","23.523166370782","24.4319006552727","24.4005429988802","24.4641687474452","24.8077856656021","24.6347998766798","",
"Austria","AUT","Revenue, excluding grants (% of GDP)","GC.REV.XGRT.GD.ZS","","","","","","","","","","","","","27.7411489059892","28.2436888293991","28.7081224669594","29.3082446832646","29.2718550239018","29.6846304225092","31.9795435379374","31.9140917413544","32.4038908806975","33.5038364143348","32.4486439545485","31.9864052597567","33.357868813904","32.9148945052002","32.652324402701","32.6857774049199","33.6069239919765","32.9085863011595","33.0288085170801","33.3178288384397","34.7971707546728","35.0832706675686","35.0308354146301","42.8237559011091","43.9549431338339","44.1717990357971","44.1274081584602","44.3518532054213","43.7772206161536","45.5358093510271","44.5222625757039","44.0881719274435","43.852540967284","43.5413074633898","42.984047946332","43.0073924396319","43.7472747913438","43.8938603898113","43.5116566379395","43.5698009980761","44.1659021988304","44.8594733972564","44.7069539196425","45.0815667563309","43.7087562825697","43.4571156242389","",
"Azerbaijan","AZE","Revenue, excluding grants (% of GDP)","GC.REV.XGRT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.6046970910061","17.9983597338082","13.7672107150699","14.8816198587848","17.8807417310934","17.572896082223","","","","","","","","","49.3018945018586","40.8898501467635","46.8289179324149","45.4813563227219","41.2739730781807","40.4057956068887","39.8963976405639","34.1836443846186","34.9198678696967","35.075876697878","",
"Burundi","BDI","Revenue, excluding grants (% of GDP)","GC.REV.XGRT.GD.ZS","","","","","","","","","","","","","","11.451400322725","11.7913165008551","9.56483182365237","11.8834614071921","14.4972827741273","16.6350147395408","14.4579955612165","13.9461724135432","13.3751155201791","","","","","","","","","","18.234244778148","18.0979613218158","18.1627908411278","18.9525114311078","19.2736081492917","17.6149752945648","13.4612018669778","16.5591929035482","15.7963438735178","","","","","","","","","","","","","","","","","","","",
"Belgium","BEL","Revenue, excluding grants (% of GDP)","GC.REV.XGRT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.1482507449822","41.6405948993806","41.8638953093946","42.4446542618521","42.1741337941087","42.1134914918171","42.1598158535136","41.0855103028338","40.3073912958871","40.2750419469266","40.2568633443859","39.9012618849876","39.5234289444102","40.4844691341358","39.5225544044674","40.0989864434587","40.8330592237586","42.1260020319995","42.8277732720463","42.5582111472866","40.6420342167541","38.5239494522788","38.9873956707414","",
"Benin","BEN","Revenue, excluding grants (% of GDP)","GC.REV.XGRT.GD.ZS","","","","","","","","","","","","","","","","","","14.9349878232636","14.1083707290837","12.9307229450291","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Burkina Faso","BFA","Revenue, excluding grants (% of GDP)","GC.REV.XGRT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.6953747055401","12.3518349247959","13.725244716167","12.7254155872569","13.0740338062685","13.7596750710269","12.9090403429913","13.641634469758","15.3180016687761","15.68319170203","17.5211882023191","18.9290664465522","17.398154440003","17.0003437243545","19.0575682921916","19.1824608329967","",
"Bangladesh","BGD","Revenue, excluding grants (% of GDP)","GC.REV.XGRT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.55508912359227","8.87465110773691","8.71578966709367","8.65675173626511","8.9489913342907","8.77841193665516","8.81075448022252","9.51289063059205","9.64307267713728","9.74382934646306","10.4626574311705","11.1452302740666","11.1604123716535","10.8668856085968","9.84448413886165","10.2095727194732","","",
"Bulgaria","BGR","Revenue, excluding grants (% of GDP)","GC.REV.XGRT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.146325450644","36.3994104642594","35.6294820717131","33.3295416527267","38.9644216133942","","","","","","","","","","","34.8409230241581","33.4668568239598","36.6588506870037","36.4249071209345","32.5443393861006","30.4414006443649","29.0398556198071","31.2705727909664","33.0431631652174","33.3131847270643","34.1868784942061","32.3665452034421","32.7712309176832","",
